WigleWifi-1.4,appRelease=2.26,model=SM-G930F,release=7.0,device=herolte,display=NRD90M.G930FXXU1DQHC,board=universal8890,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:08:78:c8,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,6,-87,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,40,-89,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,11,-67,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,1,-81,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,36,-69,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS][BLE],2017-11-06 18:42:34,40,-91,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-06 18:42:34,40,-76,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-06 18:42:34,40,-83,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-06 18:42:34,36,-67,32.10363303040909,35.21002827827904,657.019959102204,350,WIFI
42503_6791_2105347,Pelephone,UNKNOWN;il,2017-11-06 18:42:34,0,-95,32.10363303040909,35.21002827827904,657.019959102204,350,GSM
